SeniorCitizen,tenure,MonthlyCharges,TotalCharges,avg_monthly_spend,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2yr,tenure_group_2-3yr,tenure_group_3-4yr,tenure_group_4-6yr,Actual_Churn,Churn_Probability,Predicted_Churn
0,69,19.9,1356.7,19.38142857142857,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,0,0.001667258059311135,0
0,1,74.5,74.5,37.25,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0.9534973600719095,1
0,31,55.25,1715.65,53.6140625,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,1,0.1698262234784878,0
1,69,20.3,1356.3,19.375714285714285,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,0,0.0024249717835957535,0
0,2,91.45,171.45,57.15,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0,0.9518211070059872,1
0,33,70.4,2406.1,70.76764705882353,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,0.10098351113261574,0
0,3,19.6,55.25,13.8125,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0.5287669949692363,1
0,44,65.4,2774.55,61.65666666666667,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0,0.04493149737217835,0
0,10,110.1,1043.3,94.84545454545454,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,1,0.6499503330406616,1
0,8,75.25,576.7,64.07777777777778,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,0.7390403422488913,1
0,8,66.65,520.95,57.88333333333334,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0,0.32575020633296115,0
0,69,20.35,1442.65,20.609285714285715,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,0,0.00639119483655378,0
0,23,75.6,1758.6,73.27499999999999,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.12194527220744295,0
0,66,25.1,1697.7,25.338805970149256,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,0,0.008287760621703867,0
0,1,102.45,102.45,51.225,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,1,0.9875642824266448,1
0,3,19.95,58.0,14.5,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0.27413517636774454,0
0,5,51.0,286.8,47.800000000000004,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.20949301729667574,0
0,1,51.2,51.2,25.6,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.3172090631292834,0
0,9,77.65,714.15,71.41499999999999,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0.4987471951078534,0
0,36,63.7,2188.5,59.148648648648646,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,0,0.11710875643148846,0
0,68,85.5,5696.6,82.55942028985508,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0,0.05825386808961424,0
0,35,40.9,1383.6,38.43333333333333,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,0,0.03856331624124448,0
0,60,20.55,1205.05,19.754918032786886,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,0,0.008046288509054636,0
0,72,74.55,5430.65,74.39246575342466,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,0,0.008796213926440453,0
0,45,20.4,930.45,20.22717391304348,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,1,0.05875011711500313,0
0,37,91.2,3247.55,85.46184210526316,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,0,0.25444097803219456,0
0,7,50.7,350.35,43.79375,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.14713367566397081,0
0,4,50.7,151.3,30.26,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,0.28412034290798843,0
0,1,54.9,54.9,27.45,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0.6817555478873817,1
0,4,60.4,272.15,54.42999999999999,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1,0.2266355391641467,0
0,18,49.55,878.35,46.22894736842105,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,1,0.38641356572204777,0
0,12,74.05,872.65,67.12692307692308,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,1,0.20293643937966277,0
0,1,80.05,80.05,40.025,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1,0.9132292728739321,1
0,72,25.0,1738.9,23.82054794520548,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,0,0.0023260347664401564,0
0,42,20.25,835.5,19.430232558139537,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,0,0.036651078726605654,0
1,24,76.1,1712.7,68.508,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,1,0.513875532142452,1
0,26,78.95,2034.25,75.3425925925926,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0,0.17953955127770957,0
0,68,73.0,5163.0,74.82608695652173,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True,0,0.0658398971987753,0
0,17,19.9,323.15,17.952777777777776,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0,0.03536686081117594,0
0,59,111.1,6555.2,109.25333333333333,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,True,0,0.2189078076956087,0
0,13,74.4,896.75,64.05357142857143,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,1,0.7992137457113724,1
0,2,20.45,42.45,14.15,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0.4349238974238158,0
0,67,19.65,1335.2,19.63529411764706,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,0,0.004069484590307074,0
0,17,20.05,337.9,18.772222222222222,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,0,0.0647543334294958,0
0,71,80.1,5585.4,77.57499999999999,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,0,0.035570097183823174,0
0,17,98.6,1704.95,94.71944444444445,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,1,0.18102344156035347,0
0,1,89.55,89.55,44.775,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,1,0.9690251726264054,1
0,6,19.7,94.45,13.492857142857144,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,0,0.17569163422683767,0
0,61,114.1,7132.15,115.03467741935484,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,0,0.35972787653626476,0
0,6,73.85,401.3,57.32857142857143,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.8219036488897817,1
1,1,25.05,25.05,12.525,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.5298140644891223,1
0,21,102.8,2110.15,95.9159090909091,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,1,0.6818976480042523,1
0,60,110.8,6640.7,108.8639344262295,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0,0.2343661655933929,0
1,20,85.8,1727.5,82.26190476190476,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,1,0.4496429879961056,0
0,22,95.9,2234.95,97.17173913043477,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,0.2433814644822523,0
0,40,20.6,827.3,20.178048780487803,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,0,0.014965758723253654,0
0,23,74.95,1710.45,71.26875,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,1,0.6134272212872443,1
0,1,45.95,45.95,22.975,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.3796493807245499,0
0,46,38.25,1755.35,37.34787234042553,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0,0.040454915530278045,0
0,5,69.95,320.4,53.4,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.5092375386563809,1
1,68,20.0,1396.0,20.231884057971016,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,0,0.005848657612823688,0
1,1,25.2,25.2,12.6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0.7541587558777693,1
0,2,20.1,43.15,14.383333333333333,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0.1876958209086656,0
1,14,104.85,1531.4,102.09333333333333,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,1,0.7497914576262478,1
0,10,70.0,740.0,67.27272727272727,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0.5993980969757279,1
0,13,78.3,1033.95,73.85357142857143,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,0,0.6992533163136981,1
0,34,109.8,3587.25,102.49285714285715,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,1,0.47375258462889663,0
0,18,57.45,990.85,52.15,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,1,0.4790143763514825,0
0,71,19.7,1301.1,18.070833333333333,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,0,0.002939531467249814,0
0,70,110.5,7752.05,109.1838028169014,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True,0,0.20512957958057973,0
0,52,64.3,3410.6,64.35094339622641,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,0,0.11990811470314075,0
0,68,105.25,7173.15,103.9586956521739,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,0,0.05837142674861063,0
0,38,19.6,717.3,18.392307692307693,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0.12504136651406866,0
0,58,24.5,1497.9,25.38813559322034,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,0,0.04518751090405441,0
0,3,90.7,237.65,59.4125,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0,0.7831204143190247,1
0,14,48.8,664.4,44.29333333333333,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.1535085888849907,0
0,2,24.9,49.7,16.566666666666666,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0,0.7204170273403093,1
0,1,24.8,24.8,12.4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0.8334432957100817,1
1,72,107.4,7748.75,106.1472602739726,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,0,0.016253526698575594,0
0,3,43.3,123.65,30.9125,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0.7627897942130831,1
0,13,80.0,1029.35,73.52499999999999,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,0,0.5790107454924687,1
1,72,104.1,7447.7,102.02328767123288,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0,0.0896529252287866,0
0,58,20.75,1185.95,20.10084745762712,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,0,0.010837152649018448,0
1,71,95.5,6707.15,93.1548611111111,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,0,0.06347861903031722,0
0,1,76.35,76.35,38.175,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0.7903280567607711,1
0,54,91.3,4965.0,90.27272727272727,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,0.03607333412674531,0
0,39,45.05,1790.6,44.765,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0,0.030964686664602187,0
0,1,70.6,70.6,35.3,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0.8895908468780335,1
0,61,80.8,4860.85,78.40080645161291,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,0,0.029149805843636932,0
0,25,89.15,2257.75,86.83653846153847,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,1,0.32454170439228996,0
0,37,91.2,3382.3,89.0078947368421,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.11636250079691254,0
1,26,91.25,2351.8,87.10370370370372,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,1,0.4517646079420174,0
0,10,19.75,208.25,18.931818181818183,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0,0.16563576023281656,0
0,1,20.4,20.4,10.2,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,1,0.33492811050884186,0
1,24,40.65,933.3,37.332,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,1,0.2559848623180758,0
1,65,110.35,7246.15,109.7901515151515,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True,0,0.2299998539333248,0
0,23,64.9,1509.8,62.90833333333333,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,0,0.09581588278703346,0
0,49,66.15,3199.0,63.98,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,0,0.05513923299647742,0
1,42,55.65,2421.75,56.31976744186046,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0.10170466048978262,0
0,8,20.85,161.65,17.961111111111112,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,0,0.06072431553779274,0
0,28,54.65,1517.5,52.327586206896555,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.028998167205887656,0
0,71,80.6,5708.2,79.28055555555555,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0,0.005268431116540835,0
0,69,99.45,7007.6,100.10857142857144,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,1,0.43408725973295353,0
0,68,114.7,7849.85,113.7659420289855,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,0,0.10511258325276812,0
0,64,105.4,6794.75,104.53461538461538,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,0,0.09502317854841107,0
